pk,jsondata,language_pk,source_pk
1,{},40,70
2,{},59,44
3,{},103,49
4,{},136,48
5,{},77,155
6,{},94,21
7,{},116,133
8,{},15,69
9,{},163,29
10,{},155,158
11,{},91,163
12,{},93,14
13,{},61,36
14,{},165,17
15,{},156,172
16,{},90,128
17,{},130,114
18,{},144,18
19,{},29,82
20,{},53,80
21,{},96,106
22,{},1,132
23,{},57,40
24,{},67,168
25,{},36,60
26,{},110,96
27,{},125,26
28,{},43,130
29,{},73,38
30,{},25,71
31,{},164,135
32,{},110,119
33,{},23,83
34,{},47,2
35,{},152,2
36,{},132,93
37,{},42,22
38,{},24,151
39,{},17,2
40,{},16,123
41,{},81,46
42,{},28,28
43,{},94,148
44,{},161,2
45,{},2,81
46,{},57,68
47,{},166,52
48,{},37,2
49,{},23,101
50,{},100,145
51,{},7,43
52,{},16,25
53,{},77,86
54,{},162,50
55,{},54,8
56,{},123,77
57,{},34,115
58,{},155,13
59,{},12,2
60,{},160,51
61,{},64,170
62,{},124,12
63,{},92,31
64,{},131,72
65,{},95,144
66,{},103,140
67,{},102,74
68,{},108,73
69,{},47,112
70,{},99,2
71,{},70,103
72,{},29,59
73,{},159,10
74,{},4,11
75,{},75,139
76,{},150,99
77,{},80,92
78,{},44,39
79,{},132,78
80,{},59,88
81,{},50,78
82,{},148,2
83,{},111,162
84,{},19,62
85,{},130,91
86,{},158,143
87,{},33,9
88,{},150,109
89,{},1,147
90,{},39,120
91,{},13,33
92,{},72,169
93,{},43,3
94,{},50,54
95,{},64,87
96,{},42,161
97,{},163,95
98,{},105,78
99,{},86,108
100,{},73,138
101,{},1,94
102,{},65,102
103,{},118,154
104,{},39,100
105,{},73,85
106,{},156,97
107,{},5,41
108,{},89,30
109,{},40,78
110,{},67,35
111,{},105,6
112,{},134,98
113,{},92,2
114,{},67,116
115,{},52,61
116,{},86,118
117,{},86,76
118,{},61,20
119,{},85,152
120,{},149,45
121,{},37,117
122,{},8,42
123,{},110,122
124,{},123,90
125,{},37,78
126,{},62,125
127,{},80,56
128,{},49,4
129,{},150,171
130,{},50,129
131,{},30,136
132,{},8,104
133,{},53,127
134,{},24,159
135,{},116,146
136,{},28,153
137,{},23,89
138,{},95,165
139,{},47,75
140,{},1,150
141,{},78,19
142,{},111,47
143,{},83,7
144,{},98,166
145,{},98,57
146,{},51,15
147,{},110,113
148,{},113,2
149,{},37,67
150,{},118,134
151,{},22,64
152,{},154,32
153,{},75,124
154,{},150,137
155,{},141,131
156,{},145,27
157,{},24,53
158,{},126,24
159,{},85,58
160,{},2,78
161,{},34,160
162,{},76,1
163,{},50,149
164,{},77,110
165,{},46,2
166,{},52,157
167,{},159,167
168,{},44,79
169,{},112,34
170,{},139,16
171,{},101,5
172,{},132,164
173,{},96,105
174,{},134,65
175,{},39,111
176,{},137,141
177,{},82,107
178,{},70,78
179,{},128,63
180,{},36,2
181,{},147,66
182,{},127,23
183,{},159,121
184,{},21,2
185,{},39,101
186,{},41,55
187,{},91,142
188,{},66,156
189,{},39,84
190,{},61,78
191,{},120,2
192,{},72,37
193,{},70,126
