pk,jsondata,id,name,description,markup_description,language_pk
1,{},arr-5-ko=nlz,arr-5-ko=nlz,,,41
2,{},mav-7-Preffix,mav-7-Preffix,,,156
3,{},myu-0-Nom,myu-0-Nom,,,30
4,{},mav-2-AttrNom,mav-2-AttrNom,,,156
5,{},kay-1-Rel,kay-1-Rel,,,159
6,{},tpj-4-suffixing,tpj-4-suffixing,,,137
7,{},skf-0-NomPP,skf-0-NomPP,,,15
8,{},mav-6-temp,mav-6-temp,,,156
9,{},skf-3-NomV,skf-3-NomV,,,15
10,{},eme-2-Rel,eme-2-Rel,,,29
11,{},kay-0-Compl,kay-0-Compl,,,159
12,{},kay-5-Ger,kay-5-Ger,,,159
13,{},myu-3-VfinPrt,myu-3-VfinPrt,,,30
14,{},myu-1-FreeSub,myu-1-FreeSub,,,30
15,{},gvo-1-VAUXfin,gvo-1-VAUXfin,,,52
16,{},myu-5-Suffix,myu-5-Suffix,,,30
17,{},skf-9-desid,skf-9-desid,,,15
18,{},eme-5-prefix,eme-5-prefix,,,29
19,{},myu-4-Prefix,myu-4-Prefix,,,30
20,{},arr-4-AgNlz,arr-4-AgNlz,,,41
21,{},skf-2-FreeVP,skf-2-FreeVP,,,15
22,{},skf-1-Freesub,skf-1-Freesub,,,15
23,{},skf-5-Sim,skf-5-Sim,,,15
24,{},arr-0-chains,arr-0-chains,,,41
25,{},ktn-0-AdvSub,ktn-0-AdvSub,,,128
26,{},arr-1-temp,arr-1-temp,,,41
27,{},ktn-2-Rel,ktn-2-Rel,,,128
28,{},kay-9-suf,kay-9-suf,,,159
29,{},tpj-3-VVcmp,tpj-3-VVcmp,,,137
30,{},mav-3-Rea/Cnd,mav-3-Rea/Cnd,,,156
31,{},arr-6-kana,arr-6-kana,,,41
32,{},myu-2-SVC,myu-2-SVC,,,30
33,{},arr-7-pref,arr-7-pref,,,41
34,{},tpj-0-Rel,tpj-0-Rel,,,137
35,{},eme-4-SVC,eme-4-SVC,,,29
36,{},tpj-5-prefixing,tpj-5-prefixing,,,137
37,{},kay-8-pref,kay-8-pref,,,159
38,{},gvo-2-Prefix,gvo-2-Prefix,,,52
39,{},kay-7-VV,kay-7-VV,,,159
40,{},ktn-1-Compl,ktn-1-Compl,,,128
41,{},ktn-3-affixing,ktn-3-affixing,,,128
42,{},skf-4-SSprp,skf-4-SSprp,,,15
43,{},arr-3-purp,arr-3-purp,,,41
44,{},tpj-1-UnmCmp,tpj-1-UnmCmp,,,137
45,{},eme-3-Suffix,eme-3-Suffix,,,29
46,{},skf-8-prtcple,skf-8-prtcple,,,15
47,{},mav-4-pote=FreeSub,mav-4-pote=FreeSub,,,156
48,{},mav-8-Suffix,mav-8-Suffix,,,156
49,{},mav-5-Purp,mav-5-Purp,,,156
50,{},skf-7-Compl,skf-7-Compl,,,15
51,{},arr-2-reas,arr-2-reas,,,41
52,{},eme-0-CltzSub,eme-0-CltzSub,,,29
53,{},tpj-2-AdvSub,tpj-2-AdvSub,,,137
54,{},kay-6-Exh,kay-6-Exh,,,159
55,{},kay-3-Subj,kay-3-Subj,,,159
56,{},mav-1-PatNom,mav-1-PatNom,,,156
57,{},eme-1-PrefSub,eme-1-PrefSub,,,29
58,{},skf-10-prtcle,skf-10-prtcle,,,15
59,{},kay-2-Orel,kay-2-Orel,,,159
60,{},gvo-0-Nom,gvo-0-Nom,,,52
61,{},skf-6-RelCl,skf-6-RelCl,,,15
62,{},kay-4-Seq,kay-4-Seq,,,159
63,{},skf-11-prefixing,skf-11-prefixing,,,15
64,{},mav-0-Nom,mav-0-Nom,,,156
